popularity,original_title,cast,runtime,genres,release_date,release_year,budget_adj,revenue_adj,profit,leading_actor
0,3000 Miles to Graceland,Kurt Russell|Kevin Costner|Courteney Cox|Christian Slater|Kevin Pollak,125,Action|Adventure|Comedy|Thriller|Crime,2001-02-23,2001,76352263,23053673,-53298590,Kurt Russell
0,Tape,Uma Thurman|Ethan Hawke|Robert Sean Leonard,86,Drama,2001-01-26,2001,123148,604014,480866,Uma Thurman
0,Dil Chahta Hai,Aamir Khan|Saif Ali Khan|Akshaye Khanna|Preity Zinta|Sonali Kulkarni,183,Drama|Romance,2001-07-24,2001,2560263,5047869,2487606,Aamir Khan
0,Ghosts of Mars,Natasha Henstridge|Ice Cube|Jason Statham|Clea DuVall|Pam Grier,98,Action|Horror|Science Fiction,2001-08-24,2001,34481667,17254173,-17227494,Natasha Henstridge
0,Saving Silverman,Jason Biggs|Steve Zahn|Jack Black|Amanda Peet|Amanda Detmer,90,Comedy|Romance|Crime,2001-02-09,2001,27092738,23831227,-3261511,Jason Biggs
0,Riding in Cars with Boys,Drew Barrymore|Steve Zahn|Adam Garcia|Brittany Murphy|Logan Lerman,132,Comedy|Drama|Romance,2001-10-19,2001,59111429,44017459,-15093970,Drew Barrymore
0,Osmosis Jones,Chris Rock|Laurence Fishburne|David Hyde Pierce|Brandy Norwood|Bill Murray,95,Adventure|Animation|Action|Comedy|Family,2001-08-07,2001,92361608,16744434,-75617174,Chris Rock
0,Head Over Heels,Monica Potter|Freddie Prinze Jr.|Shalom Harlow|Ivana MiliÄeviÄ‡|Sarah Murdoch,86,Comedy|Romance,2001-02-02,2001,17240833,12837610,-4403223,Monica Potter
0,The Fast and the Furious,Paul Walker|Vin Diesel|Michelle Rodriguez|Jordana Brewster|Rick Yune,106,Action|Crime|Thriller,2001-06-22,2001,46796548,255267690,208471142,Paul Walker
0,Human Nature,Patricia Arquette|Tim Robbins|Rhys Ifans|Miranda Otto|Rosie Perez,96,Drama|Comedy,2001-05-18,2001,7388928,868578,-6520350,Patricia Arquette
0,Save the Last Dance,Julia Stiles|Sean Patrick Thomas|Kerry Washington|Fredro Starr|Terry Kinney,112,Drama|Family|Romance|Music,2001-01-12,2001,16009345,112112555,96103210,Julia Stiles
0,Spy Kids,Alexa PenaVega|Daryl Sabara|Antonio Banderas|Carla Gugino|Alan Cumming,88,Action|Comedy|Family|Adventure,2001-03-18,2001,43102084,182179184,139077100,Alexa PenaVega
0,The Pledge,Jack Nicholson|Aaron Eckhart|Helen Mirren|Robin Wright|Vanessa Redgrave,123,Crime|Drama|Mystery|Thriller,2001-01-09,2001,43102084,36205750,-6896334,Jack Nicholson
0,Bandits,Bruce Willis|Billy Bob Thornton|Cate Blanchett|Troy Garity|William Converse-Roberts,123,Action|Comedy|Crime|Romance,2001-10-12,2001,92361608,83287884,-9073724,Bruce Willis
0,The Animal,Rob Schneider|Colleen Haskell|John C. McGinley|Ed Asner|Guy Torry,84,Action|Comedy,2001-06-01,2001,27092738,104396624,77303886,Rob Schneider
0,Knockaround Guys,Barry Pepper|Andy Davoli|Seth Green|Vin Diesel|John Malkovich,92,Crime|Thriller,2001-09-07,2001,18472321,14777857,-3694464,Barry Pepper
0,Crazy/Beautiful,Kirsten Dunst|Jay Hernandez|Bruce Davison|Herman Osorio|Miguel Castro,99,Drama|Romance,2001-06-29,2001,16009345,20848013,4838668,Kirsten Dunst
0,Driven,Kip Pardue|Robert Sean Leonard|Til Schweiger|Estella Warren|Sylvester Stallone,116,Action,2001-04-27,2001,115759882,67417494,-48342388,Kip Pardue
0,Out Cold,Jason London|Lee Majors|Zach Galifianakis|David Koechner|Willie Garson,89,Comedy,2001-11-21,2001,29555714,18204689,-11351025,Jason London
0,American Outlaws,Colin Farrell|Scott Caan|Ali Larter|Gabriel Macht|Gregory Smith,94,Action|Western,2001-08-17,2001,43102084,16845418,-26256666,Colin Farrell
0,Hannibal,Anthony Hopkins|Julianne Moore|Gary Oldman|Ray Liotta|David Andrews,131,Crime|Drama|Thriller|Horror,2001-02-08,2001,107139466,433104848,325965382,Anthony Hopkins
0,Domestic Disturbance,John Travolta|Vince Vaughn|Teri Polo|Matt O'Leary|Steve Buscemi,89,Mystery|Thriller|Crime,2001-10-30,2001,92361608,66807360,-25554248,John Travolta
0,Recess: School's Out,Rickey D'Shon Collins|Jason Davis|Ashley Johnson|Courtland Mead|Pamela Adlon,83,Animation|Comedy|Family,2001-01-27,2001,12314881,54753008,42438127,Rickey D'Shon Collins
0,Summer Catch,Freddie Prinze Jr.|Jessica Biel|Fred Ward|Matthew Lillard|Brian Dennehy,108,Drama|Comedy|Romance,2001-08-22,2001,41870595,24252792,-17617803,Freddie Prinze Jr.
0,Wet Hot American Summer,Janeane Garofalo|David Hyde Pierce|Michael Showalter|Marguerite Moreau|Paul Rudd,97,Comedy,2001-07-27,2001,6157440,363542,-5793898,Janeane Garofalo
0,The Believer,Ryan Gosling|Summer Phoenix|Theresa Russell|Billy Zane|Joshua Harto,98,Drama,2001-01-19,2001,1847232,513438,-1333794,Ryan Gosling
0,Max Keeble's Big Move,Alex D. Linz|Zena Grey|Nora Dunn|Larry Miller|Josh Peck,86,Comedy|Family|Fantasy|Science Fiction,2001-10-05,2001,14777857,21295361,6517504,Alex D. Linz
0,Monkeybone,Brendan Fraser|Bridget Fonda|John Turturro|Chris Kattan|Giancarlo Esposito,93,Adventure|Fantasy|Animation|Action|Comedy,2001-02-23,2001,92361608,6661755,-85699853,Brendan Fraser
0,Lovely & Amazing,Catherine Keener|Brenda Blethyn|Emily Mortimer|Jake Gyllenhaal|James Le Gros,91,Comedy|Drama|Romance,2001-08-31,2001,307872,5156155,4848283,Catherine Keener
0,Corky Romano,Chris Kattan|Vinessa Shaw|Peter Falk|Peter Berg|Chris Penn,86,Action|Comedy|Crime,2001-10-12,2001,13546369,29529117,15982748,Chris Kattan
0,Jurassic Park III,Sam Neill|William H. Macy|TÃ©a Leoni|Trevor Morgan|Alessandro Nivola,92,Adventure|Action|Thriller|Science Fiction,2001-07-18,2001,114528394,454149183,339620789,Sam Neill
0,Captain Corelli's Mandolin,Nicolas Cage|PenÃ©lope Cruz|Christian Bale|Irene Papas|Gerasimos Skiadaressis,131,Drama|History|Romance,2001-08-17,2001,70194822,76491292,6296470,Nicolas Cage
0,Kissing Jessica Stein,Jennifer Westfeldt|Tovah Feldshuh|Esther Wurmfeld|Hillel Friedman|Jon Hamm,97,Comedy,2001-04-21,2001,1231488,12331412,11099924,Jennifer Westfeldt
0,The Musketeer,Catherine Deneuve|Mena Suvari|Stephen Rea|Tim Roth|Justin Chambers,104,Action|Adventure|Drama,2001-09-07,2001,49259524,33316451,-15943073,Catherine Deneuve
0,The Cat's Meow,Kirsten Dunst|Edward Herrmann|Eddie Izzard|Cary Elwes|Joanna Lumley,114,Drama|Mystery|Thriller,2001-08-03,2001,8620416,4491229,-4129187,Kirsten Dunst
0,L.I.E. Long Island Expressway,Paul Dano|Bruce Altman|Brian Cox|Billy Kay|James Costa,97,Drama,2001-01-20,2001,862041,2053127,1191086,Paul Dano
0,Novocaine,Chelcie Ross|Steve Martin|Laura Dern|Lynne Thigpen|Polly Noonan,95,Comedy|Crime|Thriller,2001-11-23,2001,7388928,2494056,-4894872,Chelcie Ross
0,Sugar & Spice,Marla Sokoloff|Marley Shelton|Melissa George|Mena Suvari|Rachel Blanchard,81,Crime|Comedy,2001-01-24,2001,13546369,16350409,2804040,Marla Sokoloff
0,Bones,Snoop Dogg|Pam Grier|Michael T. Weiss|Clifton Powell|Katharine Isabelle,96,Action|Horror|Thriller,2001-10-24,2001,12314881,9010377,-3304504,Snoop Dogg
0,The Wash,Dr. Dre|Snoop Dogg|DJ Pooh|Angell Conwell|Bruce Bruce,93,Action|Comedy,2001-11-16,2001,8620416,12597299,3976883,Dr. Dre
0,Down,Naomi Watts|James Marshall|Michael Ironside|Edward Herrmann|Dan Hedaya,111,Action|Horror|Mystery|Thriller,2001-05-11,2001,18472321,200940,-18271381,Naomi Watts
0,Made,Vince Vaughn|Jon Favreau|Sean Combs|Famke Janssen|Peter Falk,94,Action|Comedy|Thriller,2001-07-13,2001,6157440,6743702,586262,Vince Vaughn
0,Baby Boy,Tyrese Gibson|Taraji P. Henson|Omar Gooding|Ving Rhames|Snoop Dogg,130,Drama|Comedy|Crime,2001-06-27,2001,19703809,36183151,16479342,Tyrese Gibson
8,The Dark Knight,Christian Bale|Michael Caine|Heath Ledger|Aaron Eckhart|Gary Oldman,152,Drama|Action|Crime|Thriller,2008-07-16,2008,187365527,1014733032,827367505,Christian Bale
5,WALLÂ·E,Ben Burtt|Elissa Knight|Jeff Garlin|Fred Willard|John Ratzenberger,98,Animation|Family,2008-06-22,2008,182301594,527977683,345676089,Ben Burtt
4,Iron Man,Robert Downey Jr.|Terrence Howard|Jeff Bridges|Gwyneth Paltrow|Leslie Bibb,126,Action|Science Fiction|Adventure,2008-04-30,2008,141790128,592656630,450866502,Robert Downey Jr.
3,Taken,Liam Neeson|Famke Janssen|Maggie Grace|Katie Cassidy|Holly Valance,93,Action|Thriller|Crime,2008-02-18,2008,25319665,229730967,204411302,Liam Neeson
3,Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford|Cate Blanchett|Shia LaBeouf|Ray Winstone|Karen Allen,122,Adventure|Action,2008-05-21,2008,187365527,796694459,609328932,Harrison Ford
3,Twilight,Kristen Stewart|Robert Pattinson|Billy Burke|Taylor Lautner|Peter Facinelli,122,Adventure|Fantasy|Drama|Romance,2008-11-20,2008,37473105,397636870,360163765,Kristen Stewart
3,Quantum of Solace,Daniel Craig|Olga Kurylenko|Mathieu Amalric|Judi Dench|Giancarlo Giannini,106,Adventure|Action|Thriller|Crime,2008-10-30,2008,202557326,593584854,391027528,Daniel Craig
3,Kung Fu Panda,Jack Black|Dustin Hoffman|Angelina Jolie|Jackie Chan|Lucy Liu,90,Animation|Family,2008-06-04,2008,131662262,639822446,508160184,Jack Black
2,Sex Drive,Josh Zuckerman|Amanda Crew|Clark Duke|James Marsden|Seth Green,109,Comedy|Adventure|Romance,2008-10-16,2008,19242946,18995761,-247185,Josh Zuckerman
2,Mamma Mia!,Meryl Streep|Pierce Brosnan|Amanda Seyfried|Colin Firth|Stellan SkarsgÃ¥rd,108,Comedy|Romance,2008-06-30,2008,52664904,617639458,564974554,Meryl Streep
2,The Curious Case of Benjamin Button,Cate Blanchett|Brad Pitt|Tilda Swinton|Julia Ormond|Elle Fanning,166,Fantasy|Drama|Thriller|Mystery|Romance,2008-11-24,2008,151917995,338201950,186283955,Cate Blanchett
2,The Mummy: Tomb of the Dragon Emperor,Brendan Fraser|Jet Li|John Hannah|Maria Bello|Luke Ford,112,Adventure|Fantasy|Action|Thriller,2008-07-01,2008,146854061,406257724,259403663,Brendan Fraser
2,The Incredible Hulk,Edward Norton|Liv Tyler|Tim Roth|William Hurt|Tim Blake Nelson,114,Science Fiction|Action|Adventure,2008-06-12,2008,151917995,165805400,13887405,Edward Norton
2,Gran Torino,Clint Eastwood|Christopher Carley|Bee Vang|Ahney Her|Brian Haley,116,Drama,2008-12-09,2008,33421958,273410085,239988127,Clint Eastwood
2,Madagascar: Escape 2 Africa,Ben Stiller|Jada Pinkett Smith|David Schwimmer|Chris Rock|Cedric the Entertainer,89,Family|Animation,2008-10-30,2008,151917995,611622206,459704211,Ben Stiller
2,Hellboy II: The Golden Army,Ron Perlman|Selma Blair|Jeffrey Tambor|Doug Jones|John Hurt,120,Adventure|Fantasy|Science Fiction,2008-07-11,2008,86086863,162438886,76352023,Ron Perlman
2,Jumper,Hayden Christensen|Jamie Bell|Samuel L. Jackson|Rachel Bilson|Michael Rooker,88,Adventure|Fantasy|Science Fiction,2008-02-10,2008,86086863,225072774,138985911,Hayden Christensen
1,Journey to the Center of the Earth,Brendan Fraser|Josh Hutcherson|Anita Briem|Seth Meyers|Jean Michel ParÃ©,93,Action|Science Fiction|Adventure|Comedy|Family,2008-07-10,2008,45575398,103002486,57427088,Brendan Fraser
1,Wanted,Angelina Jolie|James McAvoy|Morgan Freeman|Thomas Kretschmann|Terence Stamp,110,Action|Thriller|Crime,2008-06-12,2008,75958997,261572412,185613415,Angelina Jolie
1,Slumdog Millionaire,Dev Patel|Freida Pinto|Anil Kapoor|Mia Drake Inderbitzin|Saurabh Shukla,120,Drama|Romance,2008-05-12,2008,15191799,382742747,367550948,Dev Patel
1,Transporter 3,Jason Statham|FranÃ§ois BerlÃ©and|Natalya Rudakova|Robert Knepper|David Atrakchi,104,Action|Adventure|Thriller|Crime,2008-11-26,2008,30383599,110373030,79989431,Jason Statham
1,Valkyrie,Tom Cruise|Carice van Houten|Kenneth Branagh|Bill Nighy|Terence Stamp,121,Drama|Thriller|History|War,2008-12-25,2008,75958997,202836855,126877858,Tom Cruise
1,"10,000 BC",Steven Strait|Camilla Belle|Cliff Curtis|Nathanael Baring|Mo Zinal,109,Adventure|Action|Drama|Fantasy,2008-02-22,2008,106342596,269401244,163058648,Steven Strait
1,Hancock,Will Smith|Charlize Theron|Jason Bateman|Jae Head|Eddie Marsan,92,Fantasy|Action,2008-07-01,2008,151917995,632008606,480090611,Will Smith
1,The Hurt Locker,Jeremy Renner|Anthony Mackie|Brian Geraghty|Guy Pearce|Ralph Fiennes,131,Drama|Thriller|War,2008-10-10,2008,15191799,42537038,27345239,Jeremy Renner
1,What Happens in Vegas,Ashton Kutcher|Cameron Diaz|Lake Bell|Queen Latifah|Treat Williams,99,Comedy|Romance,2008-05-07,2008,35447532,172173727,136726195,Ashton Kutcher
1,The Chronicles of Narnia: Prince Caspian,Ben Barnes|William Moseley|Anna Popplewell|Skandar Keynes|Georgie Henley,150,Adventure|Family|Fantasy,2008-05-15,2008,227876992,425017341,197140349,Ben Barnes
1,Tropic Thunder,Ben Stiller|Robert Downey Jr.|Jack Black|Jay Baruchel|Brandon T. Jackson,107,Action|Comedy,2008-08-09,2008,93176370,190477465,97301095,Ben Stiller
1,Eagle Eye,Shia LaBeouf|Michelle Monaghan|Rosario Dawson|Michael Chiklis|Anthony Mackie,118,Mystery|Thriller|Action,2008-09-25,2008,81022930,180343441,99320511,Shia LaBeouf
1,The Boy in the Striped Pyjamas,Vera Farmiga|David Thewlis|Rupert Friend|David Hayman|Asa Butterfield,94,War|Drama,2008-05-07,2008,12659832,20677622,8017790,Vera Farmiga
1,Rambo,Sylvester Stallone|Julie Benz|Matthew Marsden|Reynaldo Gallegos|Jake La Botz,92,Action|Thriller,2008-01-24,2008,50639331,114692303,64052972,Sylvester Stallone
1,Death Race,Jason Statham|Joan Allen|Ian McShane|Tyrese Gibson|Natalie Martinez,105,Action|Thriller|Science Fiction,2008-08-22,2008,45575398,74705690,29130292,Jason Statham
1,Step Up 2: The Streets,Briana Evigan|Robert Hoffman|Will Kemp|Cassie Ventura|Adam G. Sevani,98,Music|Drama|Romance,2008-02-14,2008,23294092,152745137,129451045,Briana Evigan
1,The Day the Earth Stood Still,Keanu Reeves|Jennifer Connelly|Kathy Bates|Jaden Smith|John Cleese,103,Drama|Science Fiction|Thriller,2008-12-10,2008,81022930,236074344,155051414,Keanu Reeves
1,Seven Pounds,Will Smith|Rosario Dawson|Sarah Jane Morris|Woody Harrelson|Michael Ealy,123,Drama,2008-12-18,2008,55703264,170317989,114614725,Will Smith
1,Cloverfield,Lizzy Caplan|Jessica Lucas|Odette Annable|Michael Stahl-David|Mike Vogel,85,Action|Thriller|Science Fiction,2008-01-15,2008,25319665,172947523,147627858,Lizzy Caplan
1,Bolt,John Travolta|Miley Cyrus|Susie Essman|Mark Walton|Malcolm McDowell,96,Animation|Family|Adventure|Comedy,2008-11-20,2008,151917995,313943594,162025599,John Travolta
1,Forgetting Sarah Marshall,Jason Segel|Kristen Bell|Mila Kunis|Russell Brand|Bill Hader,111,Comedy|Romance|Drama,2008-04-17,2008,30383599,106517925,76134326,Jason Segel
1,Australia,Nicole Kidman|Hugh Jackman|Essie Davis|David Wenham|Bryan Brown,165,Drama,2008-11-18,2008,131662262,50187630,-81474632,Nicole Kidman
1,Yes Man,Jim Carrey|Zooey Deschanel|Rhys Darby|Sasha Alexander|Fionnula Flanagan,104,Comedy|Romance,2008-12-09,2008,70895064,228880641,157985577,Jim Carrey
1,Marley & Me,Owen Wilson|Jennifer Aniston|Eric Dane|Kathleen Turner|Alan Arkin,115,Comedy|Family,2008-12-25,2008,60767198,247203367,186436169,Owen Wilson
1,Body of Lies,Leonardo DiCaprio|Russell Crowe|Mark Strong|Ali Suliman|Simon McBurney,128,Action|Drama|Thriller,2008-10-10,2008,70895064,114728569,43833505,Leonardo DiCaprio
1,Burn After Reading,George Clooney|Frances McDormand|Tilda Swinton|Brad Pitt|Richard Jenkins,96,Comedy|Drama,2008-09-05,2008,37473105,165813497,128340392,George Clooney
1,27 Dresses,Katherine Heigl|James Marsden|Malin Ã…kerman|Judy Greer|Edward Burns,111,Comedy|Romance,2008-01-10,2008,30383599,162308496,131924897,Katherine Heigl
1,Inkheart,Brendan Fraser|Sienna Guillory|Andy Serkis|Eliza Bennett|Paul Bettany,106,Adventure|Family|Fantasy,2008-12-11,2008,60767198,58225482,-2541716,Brendan Fraser
1,21,Jim Sturgess|Kevin Spacey|Kate Bosworth|Aaron Yoo|Liza Lapira,123,Drama|Crime,2008-03-27,2008,35447532,70716002,35268470,Jim Sturgess
1,The Bank Job,Jason Statham|Saffron Burrows|Stephen Campbell Moore|Daniel Mays|James Faulkner,112,Thriller|Crime|Drama,2008-02-28,2008,20255732,65651661,45395929,Jason Statham
1,Step Brothers,Will Ferrell|John C. Reilly|Mary Steenburgen|Richard Jenkins|Adam Scott,98,Comedy,2008-07-25,2008,65831131,129745707,63914576,Will Ferrell
1,Fool's Gold,Matthew McConaughey|Kate Hudson|Donald Sutherland|Ewen Bremner|Alexis Dziena,112,Comedy,2008-02-07,2008,70895064,112653311,41758247,Matthew McConaughey
1,Never Back Down,Sean Faris|Amber Heard|Cam Gigandet|Djimon Hounsou|Evan Peters,115,Drama|Action,2008-03-04,2008,20255732,42159705,21903973,Sean Faris
1,Pineapple Express,Seth Rogen|James Franco|Danny McBride|Gary Cole|Rosie Perez,111,Action|Comedy,2008-08-06,2008,27345239,102924282,75579043,Seth Rogen
1,The Wrestler,Mickey Rourke|Marisa Tomei|Evan Rachel Wood|Ajay Naidu|Judah Friedlander,109,Drama|Romance,2008-09-07,2008,6076719,45275608,39198889,Mickey Rourke
1,Bedtime Stories,Adam Sandler|Keri Russell|Guy Pearce|Courteney Cox|Lucy Lawless,99,Fantasy|Comedy|Family|Romance,2008-12-24,2008,81022930,215596389,134573459,Adam Sandler
1,Punisher: War Zone,Ray Stevenson|Dominic West|Julie Benz|Colin Salmon|Doug Hutchison,102,Action|Crime,2008-12-05,2008,20762125,10218382,-10543743,Ray Stevenson
1,Max Payne,Mark Wahlberg|Mila Kunis|Beau Bridges|Ludacris|Chris O'Donnell,100,Action,2008-10-16,2008,35447532,86509099,51061567,Mark Wahlberg
1,Mirrors,Kiefer Sutherland|Paula Patton|Amy Smart|Cameron Boyce|Erica Gluck,110,Horror|Thriller|Mystery,2008-08-15,2008,35447532,73362657,37915125,Kiefer Sutherland
1,Vantage Point,Dennis Quaid|Matthew Fox|Forest Whitaker|Sigourney Weaver|William Hurt,90,Drama|Action|Thriller|Crime,2008-02-01,2008,40511465,153094337,112582872,Dennis Quaid
1,Zack and Miri Make a Porno,Seth Rogen|Elizabeth Banks|Jennifer Schwalbach Smith|Jason Mewes|Gerry Bednob,102,Comedy,2008-09-18,2008,24306879,42643493,18336614,Seth Rogen
1,Get Smart,Steve Carell|Anne Hathaway|Dwayne Johnson|Alan Arkin|Terence Stamp,110,Action|Comedy|Thriller,2008-06-19,2008,81022930,233635143,152612213,Steve Carell
1,Role Models,Seann William Scott|Paul Rudd|Elizabeth Banks|Christopher Mintz-Plasse|Bobb'e J. Thompson,99,Comedy,2008-02-03,2008,28358025,93562168,65204143,Seann William Scott
1,Babylon A.D.,Vin Diesel|Michelle Yeoh|MÃ©lanie Thierry|Lambert Wilson|Charlotte Rampling,101,Action|Adventure|Science Fiction|Thriller,2008-08-20,2008,70895064,73030634,2135570,Vin Diesel
1,In Bruges,Colin Farrell|Brendan Gleeson|Ralph Fiennes|ClÃ©mence PoÃ©sy|Thekla Reuten,107,Comedy|Drama|Crime,2008-02-08,2008,15191799,32411742,17219943,Colin Farrell
1,Changeling,Angelina Jolie|Jeffrey Donovan|John Malkovich|Geoff Pierson|Amy Ryan,141,Crime|Drama|Mystery,2008-01-30,2008,55703264,114465403,58762139,Angelina Jolie
1,The Spiderwick Chronicles,Freddie Highmore|Mary-Louise Parker|Nick Nolte|Sarah Bolger|Andrew McCarthy,95,Adventure|Family|Fantasy,2008-02-14,2008,91150797,164921838,73771041,Freddie Highmore
1,Harold & Kumar Escape from Guantanamo Bay,John Cho|Kal Penn|Neil Patrick Harris|Rob Corddry|Jack Conley,107,Comedy|Adventure,2008-04-25,2008,12153439,44049253,31895814,John Cho
0,Street Kings,Keanu Reeves|Forest Whitaker|Chris Evans|Hugh Laurie|Martha Higareda,109,Action|Crime|Drama|Thriller,2008-04-10,2008,20255732,66408286,46152554,Keanu Reeves
0,Nick and Norah's Infinite Playlist,Michael Cera|Kat Dennings|Aaron Yoo|Alexis Dziena|Ari Graynor,89,Comedy|Drama|Music|Romance,2008-10-03,2008,9115079,33395562,24280483,Michael Cera
0,Four Christmases,Reese Witherspoon|Vince Vaughn|Robert Duvall|Mary Steenburgen|Dwight Yoakam,88,Comedy|Romance|Drama,2008-11-26,2008,81022930,165827299,84804369,Reese Witherspoon
0,Stargate: The Ark of Truth,Ben Browder|Amanda Tapping|Christopher Judge|Michael Shanks|Beau Bridges,97,Adventure|Science Fiction,2008-03-11,2008,7089506,9013801,1924295,Ben Browder
0,The House Bunny,Anna Faris|Emma Stone|Kat Dennings|Katharine McPhee|Rumer Willis,97,Romance|Comedy,2008-08-22,2008,25319665,71343668,46024003,Anna Faris
0,Star Wars: The Clone Wars,Matt Lanter|Ashley Eckstein|James Arnold Taylor|Tom Kane|Dee Bradley Baker,98,Thriller|Animation|Action|Science Fiction|Adventure,2008-08-05,2008,8608686,69155951,60547265,Matt Lanter
0,Saw V,Tobin Bell|Costas Mandylor|Scott Patterson|Betsy Russell|Mark Rolston,92,Horror|Thriller|Crime,2008-10-23,2008,10938095,115313387,104375292,Tobin Bell
0,The Love Guru,Mike Myers|Jessica Alba|Justin Timberlake|Romany Malco|Meagan Good,87,Comedy|Romance,2008-06-20,2008,62792771,42353789,-20438982,Mike Myers
0,Speed Racer,Emile Hirsch|Christina Ricci|Matthew Fox|Susan Sarandon|Scott Porter,135,Family|Action|Science Fiction,2008-05-09,2008,121534396,95147016,-26387380,Emile Hirsch
0,Vicky Cristina Barcelona,Scarlett Johansson|Rebecca Hall|Javier Bardem|PenÃ©lope Cruz|Christopher Evan Welch,96,Drama|Romance,2008-08-15,2008,15191799,97641394,82449595,Scarlett Johansson
0,Horton Hears a Who!,Jim Carrey|Steve Carell|Carol Burnett|Seth Rogen|Will Arnett,88,Animation|Comedy|Family|Adventure|Fantasy,2008-03-03,2008,86086863,300937408,214850545,Jim Carrey
0,The Forbidden Kingdom,Jackie Chan|Jet Li|Michael Angarano|Li Bingbing|Collin Chou,104,Action|Adventure|Fantasy,2008-04-18,2008,55703264,129542119,73838855,Jackie Chan
0,Righteous Kill,Robert De Niro|Carla Gugino|50 Cent|Al Pacino|Donnie Wahlberg,101,Action|Adventure|Crime|Drama|Thriller,2008-09-11,2008,60767198,74110222,13343024,Robert De Niro
0,Transsiberian,Woody Harrelson|Emily Mortimer|Kate Mara|Eduardo Noriega|Thomas Kretschmann,111,Thriller|Crime|Mystery,2008-01-18,2008,15191799,6002188,-9189611,Woody Harrelson
0,Traitor,Don Cheadle|Guy Pearce|Neal McDonough|SaÃ¯d Taghmaoui|Alyy Khan,114,Drama|Action|Thriller|Crime,2008-08-23,2008,22281305,23831711,1550406,Don Cheadle
0,You Don't Mess With the Zohan,Adam Sandler|John Turturro|Emmanuelle Chriqui|Nick Swardson|Lainie Kazan,113,Comedy|Action,2008-06-05,2008,91150797,204174046,113023249,Adam Sandler
0,Defiance,Daniel Craig|Liev Schreiber|Jamie Bell|Alexa Davalos|Allan Corduner,137,Action|Drama|History|War,2008-12-31,2008,32409172,51809322,19400150,Daniel Craig
0,Untraceable,Diane Lane|Billy Burke|Colin Hanks|Joseph Cross|Mary Beth Hurt,101,Drama,2008-01-22,2008,35447532,32898763,-2548769,Diane Lane
0,The Strangers,Liv Tyler|Scott Speedman|Alex Fisher|Peter Clayton-Luce|Gemma Ward,90,Thriller|Horror|Mystery,2008-05-29,2008,9115079,83444650,74329571,Liv Tyler
0,Milk,Sean Penn|Emile Hirsch|James Franco|Josh Brolin|Diego Luna,128,History|Drama,2008-11-26,2008,20255732,55284562,35028830,Sean Penn
0,Outlander,Jim Caviezel|Sophia Myles|Jack Huston|Ron Perlman|John Hurt,115,Fantasy|Action|Science Fiction,2008-04-24,2008,50639331,7123620,-43515711,Jim Caviezel
0,The X Files: I Want to Believe,David Duchovny|Gillian Anderson|Amanda Peet|Billy Connolly|Xzibit,104,Drama|Mystery|Science Fiction|Thriller,2008-07-24,2008,30383599,69243648,38860049,David Duchovny
0,Doubt,Amy Adams|Philip Seymour Hoffman|Meryl Streep|Viola Davis|Alice Drummond,104,Drama|Mystery,2008-11-27,2008,20255732,51558166,31302434,Amy Adams
0,City of Ember,Saoirse Ronan|Harry Treadaway|Mary Kay Place|Bill Murray|Martin Landau,90,Adventure|Family|Fantasy,2008-10-07,2008,55703264,18097532,-37605732,Saoirse Ronan
0,Made of Honor,Patrick Dempsey|Michelle Monaghan|Kevin McKidd|Chris Messina|Richmond Arquette,101,Comedy|Romance,2008-05-02,2008,40511465,85683451,45171986,Patrick Dempsey
0,Deception,Hugh Jackman|Ewan McGregor|Michelle Williams|Bruce Altman|Andrew Ginsburg,107,Drama|Thriller|Crime|Mystery,2008-04-24,2008,25319665,17968149,-7351516,Hugh Jackman
0,RockNRolla,Mark Strong|Tom Wilkinson|Toby Kebbell|Gerard Butler|Tom Hardy,114,Action|Crime|Thriller,2008-09-04,2008,18230159,26068130,7837971,Mark Strong
0,The Eye,Jessica Alba|Alessandro Nivola|Parker Posey|Rade Serbedzija|Fernanda Romero,98,Drama|Horror|Thriller,2008-02-01,2008,12153439,57029778,44876339,Jessica Alba
0,Elegy,PenÃ©lope Cruz|Ben Kingsley|Patricia Clarkson|Peter Sarsgaard|Dennis Hopper,112,Drama|Romance,2008-08-08,2008,13166226,15084795,1918569,PenÃ©lope Cruz
0,Bangkok Dangerous,Nicolas Cage|Shahkrit Yamnarm|Charlie Yeung|Panward Hemmanee|Nirattisai Kaljaruek,99,Action|Crime|Thriller,2008-08-21,2008,45575398,43030660,-2544738,Nicolas Cage
0,Meet the Spartans,Sean Maguire|Carmen Electra|Ken Davitian|Kevin Sorbo|Diedrich Bader,84,Comedy,2008-01-24,2008,30383599,85729179,55345580,Sean Maguire
0,Stop-Loss,Ryan Phillippe|Abbie Cornish|Joseph Gordon-Levitt|Channing Tatum|Josef Sommer,113,Drama|War,2008-03-28,2008,25319665,11350431,-13969234,Ryan Phillippe
0,Blindness,Mark Ruffalo|Julianne Moore|Gael GarcÃ­a Bernal|Danny Glover|Alice Braga,121,Drama|Mystery|Science Fiction|Thriller,2008-05-14,2008,25319665,20098729,-5220936,Mark Ruffalo
0,The Spirit,Gabriel Macht|Scarlett Johansson|Samuel L. Jackson|Eva Mendes|Paz Vega,103,Action|Comedy|Thriller|Crime|Science Fiction,2008-12-25,2008,60767198,39530416,-21236782,Gabriel Macht
